# ts,fps,avg_ms,max_ms,frames
1787129848408,25.2,39.68,299.01,18
1787129849492,35.6,28.08,597.94,84
1787129850526,80.3,12.46,33.23,162
1787129851538,78.5,12.73,49.83,246
1787129852546,91.1,10.98,33.22,336
1787129853549,84.0,11.90,83.01,420
1787129854551,100.3,9.97,49.83,522
1787129855554,56.7,17.63,348.65,558
1787129856557,117.8,8.49,16.61,678
1787129857560,95.9,10.43,91.39,774
1787129858714,109.5,9.13,66.45,888
1787129859749,75.8,13.19,166.02,972
1787129860751,120.4,8.30,8.38,1086
1787129861753,120.4,8.30,8.38,1206
1787129862755,120.4,8.30,8.39,1332
1787129863760,119.1,8.40,16.60,1446
1787129864769,104.2,9.60,16.73,1554
1787129865777,110.6,9.04,16.62,1662
1787129866783,119.1,8.40,16.61,1782
1787129867813,119.1,8.40,16.61,1878
1787129868817,112.9,8.86,24.90,1974
1787129869819,119.1,8.40,16.59,2094
1787129870820,100.3,9.97,74.69,2196
1787129871825,120.4,8.30,8.35,2322
1787129872830,115.3,8.67,24.90,2436
1787129873834,108.4,9.23,24.92,2550
1787129874845,99.4,10.06,24.92,2652
1787129875846,104.2,9.60,24.91,2754
1787129876849,102.2,9.78,24.91,2856
1787129877851,101.3,9.87,24.91,2958
1787129878853,108.4,9.23,16.61,3066
1787129879855,101.3,9.87,24.91,3168
1787129880856,109.5,9.13,24.94,3282
1787129881858,97.6,10.24,24.94,3378
1787129882874,105.2,9.50,16.61,3486
1787129883876,105.2,9.50,24.92,3588
1787129884878,105.2,9.50,24.91,3696
1787129885890,97.6,10.24,24.91,3798
1787129886905,104.2,9.60,24.91,3900
1787129887907,100.4,9.97,24.92,4002
1787129888909,103.2,9.69,24.91,4104
1787129889915,109.5,9.13,24.91,4212
1787129891085,117.8,8.49,16.61,4284
1787129892093,59.5,16.79,274.02,4308
1787129893104,59.5,16.79,274.02,4308
1787129894106,59.5,16.79,274.02,4308
1787129895110,59.5,16.79,274.02,4308
1787129896113,59.5,16.79,274.02,4308
1787129897117,59.5,16.79,274.02,4308
1787129898130,59.5,16.79,274.02,4308
1787129899139,59.5,16.79,274.02,4308
1787129900149,59.5,16.79,274.02,4308
1787129901155,59.5,16.79,274.02,4308
1787129902158,59.5,16.79,274.02,4308
1787129903163,59.5,16.79,274.02,4308
1787129904165,59.5,16.79,274.02,4308
1787129905167,59.5,16.79,274.02,4308
1787129906168,59.5,16.79,274.02,4308
1787129907171,59.5,16.79,274.02,4308
1787129908173,59.5,16.79,274.02,4308
1787129909174,59.5,16.79,274.02,4308
1787129910176,59.5,16.79,274.02,4308
1787129911178,59.5,16.79,274.02,4308
1787129912180,59.5,16.79,274.02,4308
1787129913182,59.5,16.79,274.02,4308
1787129914185,59.5,16.79,274.02,4308
1787129915191,59.5,16.79,274.02,4308
1787129916195,59.5,16.79,274.02,4308
1787129917197,59.5,16.79,274.02,4308
1787129918199,59.5,16.79,274.02,4308
1787129919204,59.5,16.79,274.02,4308
1787129920207,59.5,16.79,274.02,4308
